Url,TopicKey,Visits,UniqueVisitors,BounceRate,MedianActivePvl,OrganicSearch,Views,CSAT,CSATCount
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/add-intents,3a8ac432-9871-9a48-1fb8-57e9c6a8880e,17397,13416,4,22,7,21376,100,21376
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/add-entities,c55645b2-54cf-0629-8769-93621ddc59ad,19672,13422,5,51,21,24457,0,24457
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/train-test,d49ac0c6-9879-dee8-fc48-2eff9c740bcb,19856,14541,8,38,27,23628,100,23628
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-quickstart-intents-only,0e3f1520-6419-3c70-c786-60a5321f8572,20899,14320,7,37,4,100744,25,100744
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/add-example-utterances,30c4d8d2-ae25-8e72-0970-7f32a32592a8,22408,16228,6,48,13,28271,100,28271
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-concept-intent,7d084035-c021-d11b-d43e-4cf4b8989289,22638,17097,9,28,14,54510,100,54510
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-get-started-cs-get-intent,56427f07-37a6-5373-2f06-08a14798111a,24526,16360,8,37,22,29628,0,29628
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/what-is-luis,dc72b65c-c61c-6542-90b7-6ddb6c909a14,26176,17068,12,24,13,421577,76,421577
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/home,dc72b65c-c61c-6542-90b7-6ddb6c909a14,31166,18585,17,19,9,510757,76,510757
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-csharp-tutorial-build-bot-framework-sample,81cfd24c-0f6d-7c03-c201-145199d0b03e,31655,18730,10,57,48,113316,66,113316
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-nodejs-tutorial-build-bot-framework-sample,aa4b5097-8b24-9242-bb2e-4b7dd644a758,32946,22977,9,36,46,39005,0,39005
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-concept-entity-types,0d460cf8-a9ad-e6eb-2b2d-33ed2a3ecdaf,33746,22385,8,41,31,167628,100,167628
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/,ec843a2a-bfb8-6d11-5928-cfad67df1106,35249,25728,9,15,18,45573,100,45573
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-get-started-create-app,f8ed37b6-fff6-b465-e633-8ca09465486d,50305,34537,7,34,18,62410,0,62410
